slug,title,film_sim,subcluster,subcluster_label,text,text_len
fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2,Eterna v2,Eterna,0,Eterna#0,"One of my favorite film simulations is Eterna. There’s a special quality to it that’s different than the other film simulations, with its low contrast and muted colors. Yes, you can get pretty close to Eterna using PRO Neg. Std , but you cannot completely match the lovely subtle tonality of it. I think the Eterna film simulation is a little underrated, as it’s a great base for crafting recipes, and I was eager to create a new look with it—so I did! Real Eterna is a motion picture film. Actually, there have been a number of different film stocks that Fujifilm has given the name Eterna to. The film simulation of the same name doesn’t exactly match any specific Eterna film, yet it has a great general Eterna cinematic feel. In my opinion, the Eterna film simulation is good for achieving an analog color negative film aesthetic. The first recipe that I created that uses the Eterna film simulation is simply called Eterna , and I really like how that one turned out. I wanted to make something similar, but not identical, using the additional JPEG options that Fujifilm has added to their newer X-Trans IV cameras. I wanted a warm vintage film look—something that could possibly be confused as being actual analog—without being based on any specific film. I think it looks pretty good, and I hope that you do, too. Because this film simulation recipe requires the new Auto White Priority white balance , it is only compatible with the X-T4, X-S10 and X-E4; however, for outdoor natural light photography, using Auto white balance will produce identical results, which means that you can use this Eterna v2 recipe with the X100V and X-Pro3! For indoor artificial light photography, using Auto white balance will produce overly warm images, so Auto White Priority works better, but right now only the three newest Fujifilm X cameras have that option. For the X-T3 and X-T30, in addition to using Auto white balance, you’ll have to disregard Color Chrome Effect Blue and Clarity , and consider setting Highlight to +2 and Shadow to +1 plus Sharpness to -2 to compensate, as well as disregard Grain size (simply use Strong). It won’t be identical, but it will be very similar—I tested it out on my X-T30 and it works. Eterna Dynamic Range: DR400 Highlight: +3 Shadow: +2 Color: +3 Noise Reduction: -4 Sharpness: 0 Clarity: -3 Grain Effect: Strong, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Strong White Balance: Auto White Priority (X100V + X-Pro3: Auto ) , +4 Red & -7 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +1/3 to +2/3 (typically) Example photographs, all camera-made JPEGs using this “Eterna v2” film simulation recipe on my Fujifilm X-E4 :",2679
vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes,Vintage Eterna,Eterna,0,Eterna#0,"The premise of this Film Simulation Recipe was simple: what would my Vintage Kodachrome Recipe look like if I used Eterna instead of Classic Chrome? As it turns out, it looks alright; however, after I made a few more modifications, it looks much better! The Vintage Eterna Film Simulation Recipe is actually three Recipes: one for the X-H1, X-T3, and X-T30, another for the other X-Trans IV models (X-Pro3 and newer), and one for X-Trans V cameras. I initially created this on my Fujifilm X-E4 , but then I wanted a version for my X-H1, so I made a recipe compatible with that camera, and also used it on my X-T30. Later, I made a small modification for use on my X-T5, since X-Trans V cameras render blue more deeply on some film simulations. If you have an X-H1 or any X-Trans IV or V camera, you can use the Vintage Eterna Recipe—just find the version below that’s compatible with your model. While this Recipe wasn’t modeled after any specific emulsion, it definitely has a vintage film vibe. It’s vaguely reminiscent of color photographs from the 1950’s or ’60’s shot on Kodak film. It also has a bit of a cinematic quality to it. I don’t think this will be anyone’s favorite Recipe for everyday photography, but I suspect that some of you will love it for occasional use when retro results are desired. It pairs well with vintage glass or cheap third-party lenses with character.",1385
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog,Arizona Analog,Eterna,0,Eterna#0,"Inspiration can come suddenly and unexpectedly, and it’s important to be open to it when it comes. I was at the grocery store the other day, waiting in line to checkout, standing right next to the magazine stand. My wife points out the latest issue of Arizona Highways , which I previously subscribed to, but (with my move from Utah) I let the renewal lapse. She says, “Wanna get it?” I shake my head no, then begin to load the groceries onto the belt. I didn’t want to get it because the subscription price for a year is the same price as four issues at the stand, and because I’m pretty busy right now (still unpacking boxes and such) and I might not read it anyway. “Do you mind getting me an iced coffee?” My wife asked a moment later. Then, pointing at the stuff on the belt, she stated, “I’ve got this.” There’s a Starbucks in the grocery store, and I was happy to jump out of the line and get a couple of coffees. A few minutes later, just as the barista was done with our order, my wife walks up with the basket of bagged groceries. Sitting right on top was the Arizona Highways magazine. When we got home, after unloading the car and putting everything away, I thumbed through the August issue. On page 10 was a photograph by Scott Baxter of a rancher wrangling cattle, which was in a small article called Sierra Bonita Ranch (the picture can be seen if you click the link—click on the picture to see the whole thing—I find it interesting how different it appears on my screen vs in the magazine). I grabbed my Fujifilm X-E4 and threw in some settings that I thought might be close. I snapped a few photos in the yard, then showed my wife. “Those look good,” she said. “This is where I got the inspiration,” I stated as I showed her Scott’s picture in the magazine. She viewed the picture, then gave me a puzzled look. “We’ve only been home 10 minutes. You made this recipe from that picture?” “Yes!” I replied with a smile. “Wow,” she said, “that’s really amazing!” This recipe isn’t a 100% accurate match to Scott’s picture—it’s pretty close, but not perfect. Not surprising, it’s closer to the printed aesthetic than the digital look, as I hadn’t yet seen it online when I created the recipe. I considered attempting to more closely replicate the aesthetic of the picture, but I really like the look of this recipe—accurate or not—so I decided not to change it. I have no idea what Scott used to capture his picture… apparently he shoots a mix of film and digital. Thanks to Scott Baxter, Arizona Highways , and my wife’s thoughtful gesture, the inspiration for this recipe came quickly. It was one of the fastest recipes that I’ve ever created. Certainly it’s not for every person or every situation, but I’m sure for some of you in the right situations, you’ll appreciate the aesthetic that this “Arizona Analog” Film Simulation Recipe delivers. It’s compatible with the Fujifilm X-Pro3, X100V, X-T4, X-S10, X-E4, and X-T30 II cameras—I assume the new X-H2s, too, but I haven’t yet tested it on X-Trans V. Eterna Dynamic Range: DR400 Highlight: -1 Shadow: +3 Color: -2 Noise Reduction: -4 Sharpness: -2 Clarity: -3 Grain Effect: Strong, Small Color Chrome Effect: Weak Color Chrome Effect Blue: Weak White Balance: Daylight, +6 Red & -3 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +1/3 to +1 (typically) Example photographs, all camera-made JPEGs using this “Arizona Analog” Film Simulation Recipe on a Fujifilm X-E4:",3441
1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,1960 Chrome,Eterna Bleach Bypass,0,Eterna Bleach Bypass#0,"This Film Simulation Recipe was created at the same time as Classic Color , Nostalgic Americana , Eterna Summer , and Astia Azure . These five Recipes were intended to work well together—could all be used in a single series or project—however, 1960 Chrome is the largest outlier of the group. It uses the Eterna Bleach Bypass film simulation, which has high contrast and low saturation, with a slight reddish tint. The inspiration for 1960 Chrome came from several photographs in various vintage issues of Arizona Highways magazine from the 1960’s. While sometimes the publication provided detailed information on the photographs, sometimes they did not; from the instances where information was provided, the film used appears to be Ektachrome, perhaps from the 1950’s—likely E2 or E3 process. I’m sure the printing process and the age of the magazine play a significant role in the aesthetic as it appears today. In any event, this Recipe has a strong vintage color film aesthetic. This 1960 Chrome Film Simulation Recipe is compatible with all fifth-generation X-Trans cameras, which (as of this writing) are the Fujifilm X-H2s, X-H2, X-T5, X-S20, X100VI, and X-T50, as well as “newer” X-Trans IV models—specifically, the X-T4, X-S10, X-E4, and X-T30 II. I’m sure it can be used on several GFX cameras, but will likely render slightly different (try it anyway). For X-Trans V, set Color Chrome FX Blue to Off, and for X-Trans IV set Color Chrome FX Blue to Weak. Example photographs, all camera-made JPEGs captured by my son, Jonathan, using this 1960 Chrome Film Simulation Recipe on a Fujifilm X-E4: Example photographs, all camera-made JPEGs captured using this 1960 Chrome Film Simulation Recipe on my Fujifilm X-T5: This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X-T5 in black: Amazon , B&H , Moment , Wex , Nuzira Fujifilm X-T5 in silver: Amazon , B&H , Moment , Wex , Nuzira",1967
1981-kodak-fujifilm-x100v-x-trans-iv-film-simulation-recipe,1981 Kodak,Eterna,0,Eterna#0,"My wife, Amanda, ran across some old family pictures in her mom’s photo box. These prints were made in July of 1981—a date stamped on the back—and printed on Kodak paper. The other technical details are unknown, but most likely they were captured with a cheap point-and-shoot of some sort (possibly even a 110 camera) with Kodacolor II color negative film, which was the most popular amateur emulsion of that era. Due to age and improper storage, the prints are fading, with a pronounced orange (sometimes yellow, sometimes red) cast, and colors overall less vibrant than they once were. The set was mostly personal family pictures, and many of them were scratched and damaged, but I did scan two of the prints, which you’ll find below. I thought that the aesthetic was interesting, so I began to develop a Film Simulation Recipe inspired by these photographs. It took a couple of days—and a few compromises, as I was unable to match it exactly—but I was able to create a look that mimics the general feel of those old pictures made in 1981 and printed on Kodak paper, which is the reason why I call this Recipe 1981 Kodak . This 1981 Kodak Film Simulation Recipe is compatible with all Fujifilm X-Trans IV cameras except the X-T3 and X-T30, which is to say that you can use it on the X-Pro3, X100V, X-T4, X-S10, X-E4, and X-T30 II. For the Fujifilm X-T3 and X-T30, ignore Grain size and Color Chrome FX Blue, and use a diffusion filter (such as a 10% or 20% CineBloom) in lieu of Clarity. For X-Trans V, because some film sims render blue more deeply , it will look slightly different, but try it anyway. Example photographs, all camera-made JPEGs captured using this 1981 Kodak Film Simulation Recipe on my Fujifilm X100V :",1725
fujifilm-x100v-film-simulation-recipe-fujicolor-reala-100,Fujicolor Reala 100,Classic Negative,1,Classic Negative#1,"Amusement Poles – Farmington, UT – Fujifilm X100V – “Fujicolor Reala 100” Fujicolor Reala 100 was Fujifilm’s first Superia film, even though initially it did not have Superia in the name. Superia films shared Fuji’s “4th layer technology” and Reala was the first to have it, but Reala was marketed towards “pro” photographers while Superia was marketed towards “consumer” photographers. Eventually Fujifilm added Superia to Reala’s name. There were several different versions of Reala manufactured, including a high-ISO Tungsten one made for motion pictures, but Reala 100 was the most popular. The Classic Negative film simulation is “modeled after” Superia with “Superia-like” colors, so it’s the best starting point for a Reala recipe. Reala 100 was very similar to Superia 100, but Superia 100 was intended for “general purpose” photography while Reala 100 was intended for portrait photography (interestingly, my wedding photos were shot on Reala). Colors are rendered a little differently between the two films, especially blue, which is deeper and more saturated on Reala, despite Reala being overall slightly less saturated than Superia 100. You’ll find that this recipe and my Fujicolor Superia 100 recipe replicate these differences quite nicely. Reala film was discontinued in 2013. Tunnel & Fountain – Farmington, UT – Fujifilm X100V – “Fujicolor Reala 100” This Fujicolor Reala 100 film simulation recipe is a great all-around option. It looks good under many circumstances. The aesthetic of this recipe is very close to my Superia 100 recipe, and I’m not sure which one I like better. This one is better for stronger blues, and the other is better for stronger reds, but they’re not far apart from each other. Unfortunately, as of this writing, this Reala recipe is only compatible with the Fujifilm X100V, X-Pro3 and X-T4 cameras. Classic Negative Dynamic Range: DR400 Highlight: -1 Shadow: -1 Color: +0 Noise Reduction: -4 Sharpening: -2 Clarity: -3 Grain Effect: Weak, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Strong White Balance: Daylight, 0 Red & 0 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: 0 to +1 (typically) Example photographs, all camera-made JPEGs using this Fujicolor Reala 100 film simulation recipe on my Fujifilm X100V: Ferris Wheel – Farmington, UT – Fujifilm X100V Ferris Wheel Through The Trees – Farmington, UT – Fujifilm X100V Hands Raised – Farmington, UT – Fujifilm X100V Blue Coaster – Farmington, UT – Fujifilm X100V Waterless Waterslides – Farmington, UT – Fujifilm X100V Umbrella Ride – Farmington, UT – Fujifilm X100V Green Trees, Blue Sky – Farmington, UT – Fujifilm X100V Cat Statue – Farmington, UT – Fujifilm X100V Ride Operator – Farmington, UT – Fujifilm X100V Waiting to Fly – Farmington, UT – Fujifilm X100V Sunstar Tree – Farmington, UT – Fujifilm X100V Backlit Fountain – Farmington, UT – Fujifilm X100V Flowerbed – Farmington, UT – Fujifilm X100V Field of Wildflowers – Farmington, UT – Fujifilm X100V Potted Blooms – Farmington, UT – Fujifilm X100V Flowers in a Garden – Farmington, UT – Fujifilm X100V Blossoms Along a Fence – Farmington, UT – Fujifilm X100V Red Blossoms – Farmington, UT – Fujifilm X100V Covered Wagon – Farmington, UT – Fujifilm X100V Man Waiting – Farmington, UT – Fujifilm X100V Standing, Waiting – Farmington, UT – Fujifilm X100V Corner – Farmington, UT – Fujifilm X100V Puddle Reflections – Farmington, UT – Fujifilm X100V Stroller – Farmington, UT – Fujifilm X100V Almost – Farmington, UT – Fujifilm X100V Please Unload Children – Farmington, UT – Fujifilm X100V Lying on a Bench – Farmington, UT – Fujifilm X100V Pink Hair Bow – Farmington, UT – Fujifilm X100V Backpack – Farmington, UT – Fujifilm X100V Josh Riding Carousel – Farmington, UT – Fujifilm X100V Happy Jon – Farmington, UT – Fujifilm X100V Map on a Fence – Farmington, UT – Fujifilm X100V Woodford, Iowa – Farmington, UT – Fujifilm X100V Forest Trees – Fruit Heights, UT – Fujifilm X100V Windshield Rain – Fruit Heights, UT – Fujifilm X100V See also: Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",4502
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-100,Fujicolor Superia 100,Classic Negative,1,Classic Negative#1,"Rose Garden – Farmington, UT – Fujifilm X100V – “Fujicolor Superia 100” The new Classic Negative film simulation that’s found on Fujifilm’s latest cameras is intended to mimic Fujicolor Superia. Fujifilm doesn’t state which version of the film it’s intended to resemble; Fujifilm simply says that it’s “modeled after” Superia with “Superia-like” colors. They did very well in creating it, as it is unmistakably Superia. To me, straight-out-of-the-box Classic Negative most closely resembles Superia 200, although it’s not an exact match (but pretty close). There were at least a dozen different versions of Superia made by Fujifilm beginning in 1998, and a couple are still available today. I believe that Classic Negative can be made to resemble many of these different films. I started with Fujicolor Superia 100. Superia 100 is a daylight balanced color negative film that Fujifilm produced between 1998 and 2009. It replaced Fujicolor Super G Plus 100, which, honestly, didn’t look all that much different. Superia 100 had improved grain, sharpness, and more accurate color under florescent light. Under normal conditions, and without a close inspection, the two films looked quite similar. Superia was a “consumer” film that was widely found in drug and convenient stores. It was regularly used for family snapshots, but was also popular among photojournalists, as well as portrait and wedding photographers. Superia 100 was marketed as a “general use” low-ISO color film. Like the film, this Fujicolor Superia 100 film simulation recipe serves as a general use option. Sunset Behind the Reeds – Farmington, UT – Fujifilm X100V – “Fujicolor Superia 100” I think many of you will really appreciate this film simulation recipe. It has fairly low contrast, but not too low, and produces very nice colors. It has a nostalgic quality to it, since the film that it’s based on was widely used for family snapshots in the 1990’s and 2000’s. You can use it for portraits or street photography or landscapes—really, it’s good for most situations. Unfortunately, as of this writing, this Fujicolor Superia 100 film simulation recipe is only compatible with the Fujifilm X-Pro3, X100V and X-T4 cameras. This recipe does use the new Clarity feature , and you should be aware that it slows down the camera considerably. Classic Negative Dynamic Range: DR-Auto Highlight: -1 Shadow: -2 Color: +1 Noise Reduction: -4 Sharpening: -2 Clarity: -2 Grain Effect: Weak, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: Daylight, 0 Red & -1 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +1/3 to +2/3 (typically) Example photographs, all camera-made JPEGs using this Fujicolor Superia 100 film simulation recipe on my Fujifilm X100V: Under the Green Canopy – Farmington, UT – Fujifilm X100V Light Through The Trees – Farmington, UT – Fujifilm X100V Red Tree – Farmington, UT – Fujifilm X100V Pagoda – Farmington, UT – Fujifilm X100V Pink Tree – Farmington, UT – Fujifilm X100V Nearly Empty Park – Farmington, UT – Fujifilm X100V Waiting Alone – Farmington, UT – Fujifilm X100V Fascinating – Farmington, UT – Fujifilm X100V Fanatic Family – Farmington, UT – Fujifilm X100V Grandmother & Grandson – Farmington, UT – Fujifilm X100V Thirsty Peacock – Farmington, UT – Fujifilm X100V Give it Back – Farmington, UT – Fujifilm X100V Red & Blue Benches – Farmington, UT – Fujifilm X100V Lagoon Railroad – Farmington, UT – Fujifilm X100V Patriotic Boy – Farmington, UT – Fujifilm X100V Ride is Closed – Farmington, UT – Fujifilm X100V Nervously Ready for Tea Cup Ride – Farmington, UT – Fujifilm X100V Do Not Enter – Farmington, UT – Fujifilm X100V Rocks by the Raging River – Farmington, UT – Fujifilm X100V Leaves Above Farmington Creek – Farmington, UT – Fujifilm X100V Storm Above – Farmington, UT – Fujifilm X100V Mine! – Farmington, UT – Fujifilm X100V Refreshment Station – Farmington, UT – Fujifilm X100V Evening Red – Farmington, UT – Fujifilm X100V Desk Near a Window – Farmington, UT – Fujifilm X100V Fake Blossoms – Farmington, UT – Fujifilm X100V Backyard Jo – Farmington, UT – Fujifilm X100V Jon, Laughing – Farmington, UT – Fujifilm X100V Sunlit Tree Leaves – Farmington, UT – Fujifilm X100V Evening Leaves – Farmington, UT – Fujifilm X100V See also: Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",4754
fujifilm-x100v-film-simulation-recipe-superia-xtra-400,Superia Xtra 400,Classic Negative,2,Classic Negative#2,"I’ve had a lot of requests for a Superia Xtra 400 film simulation recipe. Fujifilm introduced Superia Xtra 400, a consumer-grade color negative film, in 1998, replacing Super G Plus 400. This film has been updated a couple of times, first in 2003 and again in 2006. It’s been widely used, thanks to its low cost and versatility. I’ve shot several rolls of this film over the years. Thomas Schwab , who has invented a few film simulation recipes, and who I’ve collaborated with on a number of others, created this Superia Xtra 400 recipe. He did this by capturing a roll of actual Superia Xtra 400 film with a film camera while capturing identical exposures with his Fujifilm cameras, then, using X RAW Studio, worked on the settings until he found a match. As you can imagine, he put a lot of time and effort into creating this! He shared with me some of his side-by-side pictures—comparing the film with this recipe—and it was tough to figure out which was which, they looked so close! What I find interesting is that this recipe isn’t all that much different than Luis Costa’s Classic Negative recipe . I said of Luis’ recipe, “It reminds me a lot of Superia Xtra 400 with a warming filter, or maybe Superia 200 pushed one stop.” Turns out it was pretty darn close to Xtra 400. This recipe by Thomas is even closer! But, of course, with film, so much depends on how it’s shot, developed, and scanned or printed, and the aesthetic can vary significantly. So, really, both recipes mimic Xtra 400, but this one proudly carries the name, as it is a very close match to the film. Thank you, Thomas, for creating this recipe and sharing it! I know that many of you will love it. I love it! This Superia Xtra 400 film simulation recipe is compatible with the Fujifilm X100V , X-Pro3, X-T4, and X-S10. Classic Negative Dynamic Range: DR400 Highlight: 0 Shadow: -1 Color: +4 Noise Reduction: -4 Sharpening: -1 Clarity: -2 Grain Effect: Strong, Small Color Chrome Effect: Off Color Chrome Effect Blue: Strong White Balance: Auto, +3 Red & -5 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: 0 to +1 (typically) Example photographs, all camera-made JPEGs using this Superia Xtra 400 film simulation recipe on my Fujifilm X100V: See also: X-Trans IV Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There’s a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",2722
fujifilm-x100v-film-simulation-recipe-superia-premium-400,Superia Premium 400,Classic Negative,0,Classic Negative#0,"After publishing film simulation recipes for Superia 100 , Superia Xtra 400 , Superia 800 and Superia 1600 film stocks, as well as Reala 100 and Luis Costa’s Classic Negative (which are both in the Superia realm), I’ve been asked a few times to create a Superia Premium 400 recipe. I’ve never shot actual Premium 400 film, and had to rely on the internet, which isn’t ideal, especially since there are limited examples for this particular film, but I think these settings are pretty good. Superia Premium 400 is a variant of Superia Xtra 400, sold only in Japan, intended to better replicate Japanese skin tones. It seems to have more of an orange color-cast. Premium 400 doesn’t have the “4th cyan color layer” that every other Superia film has, and that seems to be the biggest difference between it and Xtra 400. The way that this recipe came about is a Fuji X Weekly reader (sorry, I forgot who, and I can’t find the message) sent me his or her best guess of some settings to replicate Premium 400, and wanted advice on how to improve it. I took a look, made some changes, and sent it back, but it wasn’t right, so I kept working on it. After a couple weeks of experimenting, I settled on these settings, which I’m quite satisfied with. There are a whole bunch of options for achieving a Superia look with your Fujifilm camera. Even though this recipe is based on a more obscure variation, the results are quite interesting, and I think a lot of people are going to really appreciate it. It’s compatible with the Fujifilm X100V, X-Pro3, X-T4 and X-S10 cameras. Classic Negative Dynamic Range: DR200 Highlight: -2 Shadow: 0 Color: +4 Noise Reduction: -4 Sharpening: -1 Clarity: -2 Grain Effect: Strong, Small Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: 4700K, +4 Red & -3 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +2/3 to +1 (typically) Example photographs, all camera-made JPEGs using this Superia Premium 400 film simulation recipe on my Fujifilm X100V: This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There’s a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",2454
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-800,Fujicolor Superia 800,Classic Negative,0,Classic Negative#0,"Flags of IKEA – Draper, UT – Fujifilm X100V – “Fujicolor Superia 800” One of the earliest film simulation recipes I created that was intended to mimic a specific film was Fujicolor Superia 800 , which I made on a Fujifilm X100F about two-and-a-half years ago. This is a recipe that I’ve used often; I especially like it on overcast days . When I published the Superia 800 recipe, I stated, “It’s not a 100% match [to the film], but I feel like it’s convincing enough….” I think that’s a true statement, but with the new tools available on the X100V, could I create a closer match, one that might be even more convincing? Classic Negative needed to be the starting point for a new Fujicolor Superia 800 recipe since this new film simulation is “modeled after” Fujicolor Superia with “Superia-like” colors. I incorporated the new Clarity and Color Chrome Effect Blue features into this recipe. Unfortunately, Clarity slows down the camera considerably, so you’ll either have to accept the slow speed (which is what I do) or add Clarity later by reprocessing the RAW file. I think this new recipe is indeed a closer match to actual Superia 800—in fact, you could likely convince people that you shot film! Horse Boarding – Salt Lake City, UT – Fujifilm X100V I think this recipe might be my favorite of the Superia recipes that I’ve created thus far. If you like my Superia 100 , Reala 100 , and Superia 1600 recipes, you’ll certainly like this one, too! It has a great analog aesthetic. It’s pretty amazing that you can get this look straight out of camera. This Fujicolor Superia 800 recipe is (as of this writing) only compatible with the Fujifilm X100V, X-Pro3 and X-T4. Classic Negative Dynamic Range: DR400 Highlight: -1 Shadow: +1 Color: -1 Noise Reduction: -4 Sharpening: -1 Clarity: -4 Grain Effect: Strong, Large Color Chrome Effect: Strong Color Chrome Effect Blue: Weak White Balance: Daylight, -1 Red & -3 Blue ISO: Auto, up to ISO 6400 Exposure Compensation: +1/3 to +2/3 (typically) Example photographs, all camera-made JPEGs using this Fujicolor Superia 800 film simulation recipe on my Fujifilm X100V: Line Begins Here – Draper, UT – Fujifilm X100V Fire Suppression – Draper, UT – Fujifilm X100V Trash – Draper, UT – Fujifilm X100V Family Friendly Parking – Draper, UT – Fujifilm X100V Waiting for Hope? – Draper, UT – Fujifilm X100V Waiting to Enter – Draper, UT – Fujifilm X100V Waiting Reflection – Draper, UT – Fujifilm X100V Keeper of the Door – Draper, UT – Fujifilm X100V Entrance – Draper, UT – Fujifilm X100V Cloud Above Yellow Wall – Draper, UT – Fujifilm X100V Two Flag Poles – Draper, UT – Fujifilm X100V Home Furnishings – Draper, UT – Fujifilm X100V Upplaga – Draper, UT – Fujifilm X100V Track Closed – Salt Lake City, UT – Fujifilm X100V Artificial – Draper, UT – Fujifilm X100V Hanging Patio Lights – Draper, UT – Fujifilm X100V Two Step – Draper, UT – Fujifilm X100V Red Light – Draper, UT – Fujifilm X100V Rainbow Spirit – Farmington, UT – Fujifilm X100V Chair Back – Farmington, UT – Fujifilm X100V Joshua Eating – Farmington, UT – Fujifilm X100V Brother & Sister on the Couch – Farmington, UT – Fujifilm X100V Balcony Railing – Farmington, UT – Fujifilm X100V Umbrella Unopened – Farmington, UT – Fujifilm X100V Sunlight Sky & Green Leaves – Farmington, UT – Fujifilm X100V Ripening Soon – Farmington, UT – Fujifilm X100V Fallen Log in the Forest – Monte Cristo, UT – Fujifilm X100V See also: Film Simulation Recipes This post contains affiliate links, and if you make a purchase using my links I’ll be compensated a small amount for it. Fujifilm X100V Black Amazon B&H Fujifilm X100V Silver Amazon B&H Nobody pays me to write the content found on fujixweekly.com. There's a real cost to operating and maintaining this site, not to mention all the time that I pour into it. If you appreciated this article, please consider making a one-time gift contribution. Thank you!",3904
